Frequency (Hz)	Level (dB)
310.913086	-67.737442
311.279297	-68.704803
311.645508	-67.841255
312.011719	-67.971626
312.377930	-67.317482
312.744141	-66.153641
313.110352	-66.458611
313.476562	-67.053261
313.842773	-66.887253
314.208984	-65.523933
314.575195	-64.433052
314.941406	-65.933281
315.307617	-66.818169
315.673828	-67.219933
316.040039	-67.535156
316.406250	-66.830406
316.772461	-66.074821
317.138672	-65.162552
317.504883	-65.602173
317.871094	-66.776703
318.237305	-66.133919
318.603516	-66.179367
318.969727	-67.012123
319.335938	-66.429489
319.702148	-64.832306
320.068359	-64.007011
320.434570	-63.178886
320.800781	-63.864574
321.166992	-64.400177
321.533203	-66.023270
321.899414	-67.386604
322.265625	-66.420280
322.631836	-66.318665
322.998047	-68.479164
323.364258	-68.811073
323.730469	-69.554207
324.096680	-70.211044
324.462891	-69.639153
324.829102	-70.450279
325.195312	-71.486801
325.561523	-71.886566
325.927734	-71.446808
326.293945	-71.824036
326.660156	-71.417610
327.026367	-72.337158
327.392578	-72.279572
327.758789	-73.083656
328.125000	-73.673569
328.491211	-72.308678
328.857422	-73.494698
329.223633	-73.934776
329.589844	-73.942734
329.956055	-72.627892
330.322266	-73.363083
330.688477	-73.602615
331.054688	-70.987213
331.420898	-70.407158
331.787109	-71.168121
332.153320	-70.307915
332.519531	-70.681778
332.885742	-71.039017
333.251953	-69.129776
333.618164	-68.811813
333.984375	-69.705688
334.350586	-69.829216
334.716797	-68.722122
335.083008	-69.296890
335.449219	-69.023766
335.815430	-67.668228
336.181641	-66.964401
336.547852	-66.266960
336.914062	-66.604286
337.280273	-68.517525
337.646484	-68.549355
338.012695	-68.273216
338.378906	-70.161697
338.745117	-71.620049
339.111328	-72.303734
339.477539	-71.288185
339.843750	-70.945679
340.209961	-70.687523
340.576172	-68.559288
340.942383	-66.867325
341.308594	-68.733932
341.674805	-70.373131
342.041016	-71.954865
342.407227	-71.982643
342.773438	-71.969231
343.139648	-70.883682
343.505859	-70.422134
343.872070	-69.995468
344.238281	-66.930054
344.604492	-66.383644
344.970703	-66.013840
345.336914	-67.633026
345.703125	-70.213547
346.069336	-71.218773
346.435547	-70.609421
346.801758	-71.739929
347.167969	-69.933853
347.534180	-70.342400
347.900391	-70.688118
348.266602	-69.238937
348.632812	-69.288048
348.999023	-68.935204
349.365234	-68.571037
349.731445	-69.273865
350.097656	-70.038322
350.463867	-70.482895
350.830078	-69.676781
351.196289	-70.042229
351.562500	-70.879829
351.928711	-70.546967
352.294922	-70.177597
352.661133	-70.159576
353.027344	-70.697289
353.393555	-68.887619
353.759766	-69.255074
354.125977	-68.487762
354.492188	-68.438347
354.858398	-69.168526
355.224609	-68.130814
355.590820	-67.244217
355.957031	-67.882553
356.323242	-66.574501
356.689453	-65.729980
357.055664	-65.423225
357.421875	-64.941582
357.788086	-64.750603
358.154297	-63.863297
358.520508	-62.785851
358.886719	-62.145168
359.252930	-61.788113
359.619141	-60.995285
359.985352	-61.150005
360.351562	-60.905342
360.717773	-59.840759
361.083984	-59.521965
361.450195	-61.007584
361.816406	-61.649109
362.182617	-61.406479
362.548828	-61.419956
362.915039	-62.132587
363.281250	-62.763092
363.647461	-63.354485
364.013672	-64.245621
364.379883	-63.951912
364.746094	-64.054268
365.112305	-64.700951
365.478516	-66.966637
365.844727	-68.039551
366.210938	-68.866806
366.577148	-68.506256
366.943359	-69.454826
367.309570	-71.167465
367.675781	-70.584419
368.041992	-70.728897
368.408203	-71.349617
368.774414	-71.212471
369.140625	-73.764168
369.506836	-75.438919
369.873047	-76.345810
370.239258	-76.297958
370.605469	-74.767342
370.971680	-74.573845
371.337891	-74.122185
371.704102	-74.410698
372.070312	-73.567154
372.436523	-72.809952
372.802734	-71.928856
373.168945	-71.685883
373.535156	-71.564323
373.901367	-71.053673
374.267578	-70.857948
374.633789	-71.513557
375.000000	-71.695992
375.366211	-70.980568
375.732422	-70.972084
376.098633	-71.863846
376.464844	-72.506332
376.831055	-71.932053
377.197266	-69.261147
377.563477	-69.064644
377.929688	-70.115295
378.295898	-70.500900
378.662109	-70.380142
379.028320	-70.854958
379.394531	-70.072655
379.760742	-69.854439
380.126953	-69.873398
380.493164	-68.765961
380.859375	-67.166718
381.225586	-66.054420
381.591797	-67.040695
381.958008	-67.190826
382.324219	-66.608452
382.690430	-67.516594
383.056641	-67.451042
383.422852	-66.385124
383.789062	-66.248535
384.155273	-65.432350
384.521484	-65.415413
384.887695	-65.122925
385.253906	-64.595650
385.620117	-64.953186
385.986328	-65.579315
386.352539	-65.223755
386.718750	-64.261986
387.084961	-63.265789
387.451172	-63.795002
387.817383	-64.099030
388.183594	-63.367241
388.549805	-64.472969
388.916016	-65.848839
389.282227	-64.932259
389.648438	-64.207886
390.014648	-63.289333
390.380859	-63.785873
390.747070	-63.771935
391.113281	-64.681229
391.479492	-65.706467
391.845703	-64.726967
392.211914	-64.656448
392.578125	-65.414925
392.944336	-65.830070
393.310547	-63.945518
393.676758	-63.607986
394.042969	-64.628372
394.409180	-64.919487
394.775391	-65.218742
395.141602	-64.989082
395.507812	-64.502747
395.874023	-65.811020
396.240234	-67.170563
396.606445	-67.548607
396.972656	-67.064735
397.338867	-67.036697
397.705078	-67.764305
398.071289	-68.689323
398.437500	-67.792305
398.803711	-68.014870
399.169922	-68.286514
399.536133	-68.666824
399.902344	-69.266129
400.268555	-69.327858
400.634766	-69.167923
401.000977	-69.579819
401.367188	-71.197487
401.733398	-71.042946
402.099609	-70.454254
402.465820	-72.017601
402.832031	-70.971573
403.198242	-70.884422
403.564453	-71.419243
403.930664	-71.378578
404.296875	-70.288963
404.663086	-69.945190
405.029297	-70.558311
405.395508	-71.915894
405.761719	-73.016777
406.127930	-72.581085
406.494141	-72.891365
406.860352	-73.919579
407.226562	-74.462646
407.592773	-74.388603
407.958984	-74.941086
408.325195	-73.560066
408.691406	-74.477715
409.057617	-75.262558
409.423828	-74.222404
409.790039	-75.600273
410.156250	-74.684685
410.522461	-74.831535
410.888672	-77.634438
411.254883	-75.209892
411.621094	-74.739685
411.987305	-74.821144
412.353516	-73.059639
412.719727	-74.016220
413.085938	-72.585953
413.452148	-71.073631
413.818359	-71.166977
414.184570	-71.179237
414.550781	-71.080132
414.916992	-73.078735
415.283203	-73.523209
415.649414	-71.937668
416.015625	-71.954620
416.381836	-71.519882
416.748047	-73.306175
417.114258	-70.297096
417.480469	-70.424011
417.846680	-70.302162
418.212891	-67.686920
418.579102	-67.542831
418.945312	-71.192024
419.311523	-74.431313
419.677734	-74.400787
420.043945	-70.780190
420.410156	-71.767052
420.776367	-73.463036
421.142578	-73.565056
421.508789	-74.334473
421.875000	-72.520378
422.241211	-70.122566
422.607422	-70.539467
422.973633	-71.709755
423.339844	-71.610336
423.706055	-71.955246
424.072266	-72.252853
424.438477	-73.447342
424.804688	-73.410530
425.170898	-74.022118
425.537109	-71.863777
425.903320	-71.919075
426.269531	-73.067703
426.635742	-71.754868
427.001953	-70.498100
427.368164	-70.727112
427.734375	-71.444489
428.100586	-71.246620
428.466797	-72.172401
428.833008	-72.090668
429.199219	-71.998001
429.565430	-73.016090
429.931641	-73.024330
430.297852	-73.040070
430.664062	-71.402885
431.030273	-71.864059
431.396484	-73.039719
431.762695	-72.813362
432.128906	-74.079163
432.495117	-73.443024
432.861328	-72.895622
433.227539	-72.583672
433.593750	-72.674400
433.959961	-73.406677
434.326172	-72.849236
434.692383	-73.268715
435.058594	-72.084610
435.424805	-72.458794
435.791016	-71.747986
436.157227	-71.602638
436.523438	-73.344536
436.889648	-71.704910
437.255859	-70.793282
437.622070	-73.124222
437.988281	-71.920197
438.354492	-70.423798
438.720703	-72.090805
439.086914	-73.812180
439.453125	-74.853050
439.819336	-73.353394
440.185547	-73.703575
440.551758	-73.341454
440.917969	-72.124313
441.284180	-72.857170
441.650391	-72.566055
442.016602	-70.790245
442.382812	-68.938942
442.749023	-70.189056
443.115234	-71.220322
443.481445	-72.627144
443.847656	-71.370483
444.213867	-71.089943
444.580078	-71.723663
444.946289	-73.166710
445.312500	-71.552811
445.678711	-70.344864
446.044922	-70.385529
446.411133	-70.534584
446.777344	-70.393509
447.143555	-70.192467
447.509766	-71.475060
447.875977	-70.838158
448.242188	-71.241859
448.608398	-73.072556
448.974609	-73.857391
449.340820	-72.711113
449.707031	-73.222626
450.073242	-72.715500
450.439453	-71.745705
450.805664	-70.243523
451.171875	-70.349800
451.538086	-72.519463
451.904297	-73.312180
452.270508	-72.615852
452.636719	-72.308960
453.002930	-72.874680
453.369141	-71.616898
453.735352	-71.267189
454.101562	-72.239319
454.467773	-70.412201
454.833984	-69.573380
455.200195	-70.726967
455.566406	-71.304512
455.932617	-72.831650
456.298828	-71.253716
456.665039	-72.193695
457.031250	-72.439636
457.397461	-71.853951
457.763672	-72.516182
458.129883	-71.600403
458.496094	-71.343300
458.862305	-71.063126
459.228516	-72.358871
459.594727	-72.620071
459.960938	-72.930977
460.327148	-72.752953
460.693359	-72.537735
461.059570	-74.016251
461.425781	-75.094269
461.791992	-74.150497
462.158203	-74.286682
462.524414	-74.821976
462.890625	-75.298439
463.256836	-74.562126
463.623047	-73.489319
463.989258	-74.369072
464.355469	-73.462296
